model_id,method,scope,batch,wall_time_ns
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,696800
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,707400
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,699300
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,705900
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,699400
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,703200
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,711800
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,703300
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,712000
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,959600
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,754200
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,734600
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,445800
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,436700
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,436100
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,435500
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,444200
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,434800
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,437200
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,435400
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,445300
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,435300
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,441500
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,432900
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,442100
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,435300
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,435300
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,433400
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,440800
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,432400
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,432000
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,432900
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,445000
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,435300
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,492100
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,442000
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,436000
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,434800
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,435600
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,443800
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,432700
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,432700
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,697800
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,706200
