experiment_id,sample_id,model_id,method,feature_index,feature_name,contribution,rank
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,26,S4:dR_norm,0.0,77
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,27,S4:EMAi_0.001,0.0,78
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,28,S4:EMAi_0.01,-0.010000000000000009,31
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,29,S4:EMAi_0.1,0.0,79
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,30,S4:EMAd_0.001,0.0,80
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,31,S4:EMAd_0.01,0.0050000000000000044,48
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,32,S4:EMAd_0.1,0.0,81
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,33,S5:dR,0.010000000000000009,32
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,34,S5:dR_norm,0.0050000000000000044,49
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,35,S5:EMAi_0.001,0.0,82
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,36,S5:EMAi_0.01,0.0,83
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,37,S5:EMAi_0.1,0.0,84
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,38,S5:EMAd_0.001,0.015000000000000013,21
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,39,S5:EMAd_0.01,0.0,85
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,40,S5:EMAd_0.1,0.010000000000000009,33
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,41,S6:dR,0.0,86
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,42,S6:dR_norm,0.0,87
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,43,S6:EMAi_0.001,0.0,88
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,44,S6:EMAi_0.01,0.0,89
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,45,S6:EMAi_0.1,0.0,90
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,46,S6:EMAd_0.001,0.010000000000000009,34
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,47,S6:EMAd_0.01,-0.0050000000000000044,50
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,48,S6:EMAd_0.1,0.0,91
