experiment_id,sample_id,feature_id,reference_attribution,exported_attribution,absolute_error,relative_error,sign_agreement,top_1_overlap,top_3_overlap,top_5_overlap,top_10_overlap,top_20_overlap,pass
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F092,0.015809241375637245,0.0158092417,3.243627554050388e-10,2.0517287812740745e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F093,0.02595963732137814,0.0259596352,2.121378139124941e-09,8.17183272964278e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F094,0.01956338788664801,0.0195633881,2.1335198885363837e-10,1.0905676976289514e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F095,-0.0518980363743078,-0.0518980362,1.7430780430149895e-10,3.3586589489499506e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F096,-0.21854460197536554,-0.218544602,2.4634461137651442e-11,1.1272051981603394e-10,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F097,-0.479740115970341,-0.479740113,2.9703409731851593e-09,6.191562627980844e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F098,-0.14042447002879593,-0.140424475,4.971204059511791e-09,3.5401266307021696e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F099,-0.4086167988103365,-0.408616781,1.781033653891484e-08,4.358689263576185e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F100,-0.2755050297915973,-0.275505006,2.379159730336866e-08,8.635630834531605e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F101,-0.07533361466056125,-0.0753336102,4.460561253694095e-09,5.921076897468049e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F102,-0.07379148339744845,-0.0737914741,9.297448450018564e-09,1.25996226420081e-07,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F103,0.0825278587391605,0.082527861,2.2608394878442795e-09,2.7394864260200208e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F104,-0.38338738645145015,-0.383387387,5.485498721924387e-10,1.4307979124448939e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F105,-0.6721670396847371,-0.672167003,3.668473713691611e-08,5.4576816432597104e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F106,-0.30678584597411385,-0.306785882,3.6025886163137955e-08,1.1743007911185631e-07,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F107,-0.47815807189787285,-0.478158116,4.410212717242956e-08,9.223336332560981e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F108,-0.23465340963895726,-0.234653428,1.8361042741776856e-08,7.824750030279785e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F109,-0.21753594384627378,-0.217535943,8.462737732806147e-10,3.890270997599603e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F110,-0.2096502432141037,-0.209650233,1.0214103701722266e-08,4.87197321840986e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F111,0.24186206628505305,0.241862044,2.228505305290618e-08,9.21395132159399e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F112,0.13627699346265193,0.13627699,3.4626519429536984e-09,2.54089252703001e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F113,-0.0717534228394286,-0.0717534274,4.56057140663102e-09,6.35589387399228e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F114,0.11957942395976423,0.119579419,4.959764224321539e-09,4.147673621500625e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F115,-0.12594662214177316,-0.125946626,3.858226849118296e-09,3.063382553265495e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F116,-0.14768014764643628,-0.147680148,3.5356373384587414e-10,2.3941182310593803e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F117,-0.12733057293085295,-0.127330571,1.9308529497497062e-09,1.5164095356723624e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F118,-0.0705538982161165,-0.0705538988,5.838834971072515e-10,8.27570852738334e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F119,-0.01232324629637819,-0.0123232473,1.0036218089232163e-09,8.144134952639722e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F120,0.10881096748941689,0.108810961,6.489416892740962e-09,5.963936395816104e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F121,-0.20302137811974882,-0.203021377,1.1197488214431672e-09,5.5154232121442e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F122,0.07169518786448244,0.0716951936,5.735517560889747e-09,7.999864051867703e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F123,-0.1544719046640272,-0.154471889,1.5664027186446106e-08,1.0140372917984666e-07,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F124,-0.12208923141661672,-0.122089222,9.416616722490723e-09,7.712897045241856e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F125,-0.18230802726398626,-0.182308018,9.26398627254521e-09,5.081502121204319e-08,True,1.0,1.0,1.0,1.0,1.0,True
