experiment_id,model_id,method,sample_id,batch,row_index_in_batch,repeat,latency_ns
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:0,2,0,3,77458185
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:0,2,0,4,88553542
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:0,2,0,5,83027123
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:1,2,1,1,34850769
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:1,2,1,2,33322031
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:1,2,1,3,34396667
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:1,2,1,4,34580924
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:1,2,1,5,34179643
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:1,2,1,1,79999796
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:1,2,1,2,78427015
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:1,2,1,3,78731927
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:1,2,1,4,88188572
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:1,2,1,5,88813585
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:12,2,12,1,34194793
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:12,2,12,2,34276742
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:12,2,12,3,34642962
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:12,2,12,4,34868985
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:12,2,12,5,33599012
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:12,2,12,1,78924278
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:12,2,12,2,90233613
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:12,2,12,3,89547102
