model_id,method,scope,batch,phase,feature_count,sample_count,prediction_calls,batch_size,environment_id,median_ns,mean_ns,p95_ns,p99_ns,iqr_ns,min_ns,max_ns,std_ns,cv,n,experiment_id,median_us,p95_us,unit,variance_flag,scientific_scope,baseline_median_us,explanation_overhead_ratio,overhead_numerator_us,overhead_denominator_us,ratio_scope
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,TOP_K_REDUCTION_K3,128,1,0,1,HOST-STAGE12-001,5000.0,5054.333333333333,5400.0,6200.999999999999,200.0,4700.0,11300.0,402.5559684504927,0.0796457103047865,600,EXP-XAI-LATENCY-001,5.0,5.4,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.2,,,,NOT_APPLICABLE
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,TOP_K_REDUCTION_K5,128,1,0,1,HOST-STAGE12-001,5000.0,5023.5,5300.0,5900.999999999999,200.0,4700.0,6900.0,193.89105076290457,0.0385968051682899,600,EXP-XAI-LATENCY-001,5.0,5.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.2,,,,NOT_APPLICABLE
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,2,EXPLANATION_COMPUTE,128,129,129,1,HOST-STAGE12-001,1394145600.0,1398686060.0,1407445800.0,1407627800.0,13431400.0,1391971200.0,1407673300.0,7733837.195597021,0.0055293588867233,5,EXP-XAI-LATENCY-001,1394145.6,1407445.8,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,11363.35,122.68790453519429,1394145.6,11363.35,LOCAL_MATCHED_MODEL_BATCH_ONLY
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,6,EXPLANATION_COMPUTE,128,129,129,1,HOST-STAGE12-001,1397350100.0,1397570480.0,1402469360.0,1403467472.0,1082000.0,1392909700.0,1403717000.0,3903110.15819436,0.0027927823419641,5,EXP-XAI-LATENCY-001,1397350.1,1402469.36,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,11224.1,124.49551411694479,1397350.1,11224.1,LOCAL_MATCHED_MODEL_BATCH_ONLY
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,10,EXPLANATION_COMPUTE,128,129,129,1,HOST-STAGE12-001,1416216100.0,1431271420.0,1459796380.0,1460631676.0,42804800.0,1410865500.0,1460840500.0,24753176.30955672,0.0172945368458183,5,EXP-XAI-LATENCY-001,1416216.1,1459796.38,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,10925.55,129.62423859668394,1416216.1,10925.55,LOCAL_MATCHED_MODEL_BATCH_ONLY
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,EXPLANATION_COMPUTE,128,129,2,128,HOST-STAGE12-001,22372350.0,22421897.0,23183510.0,24633341.0,509750.0,21602300.0,28975900.0,601796.5934523209,0.0268396823628402,600,EXP-XAI-LATENCY-001,22372.35,23183.51,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,11363.35,1.968816414173637,22372.35,11363.35,LOCAL_MATCHED_MODEL_BATCH_ONLY
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,SERIALIZATION_JSON,128,1,0,1,HOST-STAGE12-001,35000.0,37242.16666666666,48509.99999999999,72293.99999999991,6200.0,28000.0,333500.0,17214.15164916809,0.462222077551022,600,EXP-XAI-LATENCY-001,35.0,48.50999999999999,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED,11363.35,,,,NOT_APPLICABLE
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K1,128,1,0,1,HOST-STAGE12-001,5000.0,5436.166666666667,6500.0,14300.0,200.0,4700.0,27700.0,1994.384932166216,0.3668733970934572,600,EXP-XAI-LATENCY-001,5.0,6.5,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED,11363.35,,,,NOT_APPLICABLE
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K10,128,1,0,1,HOST-STAGE12-001,4900.0,4990.0,5300.0,5900.999999999999,100.0,4700.0,6700.0,200.2502607861178,0.0401303127827891,600,EXP-XAI-LATENCY-001,4.9,5.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,11363.35,,,,NOT_APPLICABLE
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K20,128,1,0,1,HOST-STAGE12-001,5000.0,5026.333333333333,5300.0,6102.999999999997,100.0,4700.0,10500.0,412.7434442930625,0.0821162101518129,600,EXP-XAI-LATENCY-001,5.0,5.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,11363.35,,,,NOT_APPLICABLE
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K3,128,1,0,1,HOST-STAGE12-001,5000.0,5117.833333333333,5400.0,6710.99999999999,200.0,4700.0,27400.0,1435.664954643739,0.2805220219449127,600,EXP-XAI-LATENCY-001,5.0,5.4,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED,11363.35,,,,NOT_APPLICABLE
MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K5,128,1,0,1,HOST-STAGE12-001,5000.0,5130.833333333333,5300.0,8711.999999999989,100.0,4700.0,24600.0,1387.747230652083,0.2704720930294786,600,EXP-XAI-LATENCY-001,5.0,5.3,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED,11363.35,,,,NOT_APPLICABLE
