experiment_id,model_id,method,scope,batch,phase,metric_name,estimate,ci_low,ci_high,n,bootstrap_repetitions,resampling_unit,unit,measurement_type
EXP-XAI-LATENCY-001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,EXPLANATION_COMPUTE,median_host_wall_time_ns,22372350.0,22325300.0,22391550.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,SERIALIZATION_JSON,median_host_wall_time_ns,35000.0,33700.0,35500.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K1,median_host_wall_time_ns,5000.0,5000.0,5000.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K10,median_host_wall_time_ns,4900.0,4900.0,5000.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K20,median_host_wall_time_ns,5000.0,4900.0,5000.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K3,median_host_wall_time_ns,5000.0,4900.0,5000.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K5,median_host_wall_time_ns,5000.0,4900.0,5000.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,EXPLANATION_COMPUTE,median_host_wall_time_ns,22410700.0,22373900.0,22467615.0,450,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,SERIALIZATION_JSON,median_host_wall_time_ns,26500.0,26200.0,26800.0,450,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,TOP_K_REDUCTION_K1,median_host_wall_time_ns,5000.0,5000.0,5000.0,450,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,TOP_K_REDUCTION_K10,median_host_wall_time_ns,5000.0,5000.0,5000.0,450,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,TOP_K_REDUCTION_K20,median_host_wall_time_ns,5000.0,5000.0,5000.0,450,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,TOP_K_REDUCTION_K3,median_host_wall_time_ns,5000.0,5000.0,5000.0,450,1000,timing_replicate,nanoseconds,MEASURED_HOST
