experiment_id,model,protocol,test_batch,gas_class,precision,recall,f1,support
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,7,2,0.5270618556701031,0.6178247734138973,0.56884561891516,662
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,7,3,0.5472370766488414,0.8527777777777777,0.6666666666666666,360
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,7,4,0.0,0.0,0.0,744
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,7,5,0.0,0.0,0.0,630
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,7,6,0.0,0.0,0.0,568
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,8,1,0.12658227848101267,1.0,0.2247191011235955,30
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,8,2,0.0,0.0,0.0,30
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,8,3,0.5454545454545454,0.75,0.631578947368421,40
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,8,4,0.0,0.0,0.0,33
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,8,5,0.0,0.0,0.0,143
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,8,6,0.0,0.0,0.0,18
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,9,1,0.23735408560311283,1.0,0.3836477987421384,61
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,9,2,0.0,0.0,0.0,55
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,9,3,0.4694835680751174,1.0,0.6389776357827476,100
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,9,4,0.0,0.0,0.0,75
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,9,5,0.0,0.0,0.0,78
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,9,6,0.0,0.0,0.0,101
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,10,1,0.247320692497939,1.0,0.3965631196298744,600
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,10,2,0.9633333333333334,0.4816666666666667,0.6422222222222222,600
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,10,3,0.6355013550135501,0.7816666666666666,0.7010463378176383,600
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,10,4,0.0,0.0,0.0,600
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,10,5,0.9859154929577465,0.11666666666666667,0.20864381520119224,600
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,10,6,0.639344262295082,0.065,0.11800302571860817,600
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,2,1,0.5234899328859061,0.9512195121951219,0.6753246753246753,164
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,2,2,0.984472049689441,0.9491017964071856,0.9664634146341463,334
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,2,3,0.9803921568627451,1.0,0.9900990099009901,100
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,2,4,0.0,0.0,0.0,109
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,2,5,0.99800796812749,0.9417293233082706,0.9690522243713733,532
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,2,6,0.45454545454545453,1.0,0.625,5
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,3,1,0.5209840810419681,0.9863013698630136,0.6818181818181818,365
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,3,2,0.9979591836734694,0.9979591836734694,0.9979591836734694,490
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,3,3,0.9321266968325792,0.9537037037037037,0.9427917620137299,216
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,3,4,0.0,0.0,0.0,240
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,3,5,1.0,0.6436363636363637,0.7831858407079646,275
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,3,6,0.0,0.0,0.0,0
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,4,1,0.5555555555555556,0.625,0.5882352941176471,64
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,4,2,0.9148936170212766,1.0,0.9555555555555556,43
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,4,3,1.0,0.8333333333333334,0.9090909090909091,12
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,4,4,0.0,0.0,0.0,30
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,4,5,0.0,0.0,0.0,12
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,4,6,0.0,0.0,0.0,0
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,5,1,0.2028985507246377,1.0,0.3373493975903614,28
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,5,2,1.0,1.0,1.0,40
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,5,3,1.0,0.95,0.9743589743589743,20
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,5,4,0.0,0.0,0.0,46
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,5,5,0.0,0.0,0.0,63
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,5,6,0.0,0.0,0.0,0
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,6,1,0.4048582995951417,0.9727626459143969,0.5717552887364208,514
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,6,2,0.9373881932021467,0.9128919860627178,0.9249779346866726,574
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,6,3,0.20841683366733466,0.9454545454545454,0.3415435139573071,110
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,6,4,0.0,0.0,0.0,29
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,6,5,1.0,0.006600660066006601,0.013114754098360656,606
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,6,6,0.3333333333333333,0.0021413276231263384,0.00425531914893617,467
BASE-FIXED-C4-001,MODEL-C4,FIXED_ORIGIN_B1,7,1,0.41897998708844414,1.0,0.5905368516833485,649
